Title,Ingredients,Procedures,Nutrition,Yield,Age_group,Cooking_time,Prep_time,Price,recipe_id,Source
"
Burger Queen 
","
2 ;cups ;Munggo, red, dried 
8 ;cups ;Water for boiling 
1⁄4 ;cup ;Onion, Bombay, chopped 
11⁄2 ;cups ;Chicken breast, ground 
1 ;cup ;Squash, cubed 
1 ;cup ;Carrot, cubed 
2 ;Tbsps ;Sesame seeds 
1⁄4 ;cup ;Spring onion, chopped 
3 ;pcs ;Chicken egg, beaten 
2 ;Tbsps ;Soy sauce 
1⁄2 ;tsp ;Black pepper, ground 
2 ;tsps ;Iodized salt 
4 ;cups ;Cooking oil (for frying patties) 
25 ;pcs ;Burger buns 
2 ;whole, small size  ;Lettuce, cut into serving size 
25 ;pcs ;Cheese, singles 
25 ;pcs ;Wax paper, cut into 4” x 4” ","
1. Boil munggo: 
• In a covered pan, boil munggo over medium fire for 1 hour or until tender. Drain. 
2. In a bowl, combine munggo, onion, chicken, squash, carrots, sesame seeds and spring onion. Blend well. Set aside. 
3. In a separate bowl, mix together egg, soy sauce, pepper and salt. 
4. Pour in the munggo mixture. Blend well. 
5. Line the tray with wax paper. 
6. Position an egg molder on top of the wax paper. Scoop out 1⁄4 cup of the mixture. 
7. Spread evenly in the molder to create a patty. 
8. Chill in the freezer for 30 minutes. 
9. In a pan, heat oil. Deep fry patties over medium fire until golden brown. Drain excess oil. 
10.Slice buns in half (horizontal). Fill in with lettuce, patty and cheese. 
11.Serve. 
","
Serving per amount 
Energy, kcal  804 
Fat, g  27.3 
Carbohydrate, g 102.7 
Protein, g  37.0 
Calcium, mg  429 
Iron, mg  10.8 
Vitamin A, μg RE  591 
Thiamin, mg  0.51 
Riboflavin, mg  0.43 
Niacin, mg  13.5 
Vitamin C, mg  11 
","
Serving size: 2 pieces
Number of servings: 12 1⁄2 
",,"
2 hours 
",,'',fnri-2016-11bur,fnri
"
Adobo Supreme 
","
1 1⁄2 ;cups  ;Kidney beans, black, dried 
8 ;cups ;Water for boiling 
1⁄4 ;cup ;Annatto (achuete) oil 
1⁄4 ;cup ;Garlic, chopped 
3 ;cups ;Pork, liempo, sliced 
3 ;Tbsps ;Vinegar 
1⁄4 ;tsp ;Black pepper, ground 
2 ;Tbsps ;Patis 
2 ;Tbsps ;Soy sauce 
1 ;cup ;Water 
1⁄2 ;cup ;Pork liver, sliced 
2 ;cups ;Sitaw, sliced 
12 ;pcs ;Quail egg, boiled, shelled 

","
1. Boil kidney beans: 
• In a covered pan, boil beans in water over medium fire for 45 minutes or until tender. Drain. Set aside. 
2. In a pan, heat annatto oil. Sauté garlic and pork. Cover and cook for 30 minutes or until pork is tender. 
3. Add vinegar. Simmer for 5 minutes. 
4. Season with pepper, patis and soy sauce. 
5. Add water and liver. Cover and simmer for 5 minutes. 
6. Add sitaw. Simmer for another 5 minutes. 
7. Add beans and egg. Serve hot. 
","
Amount per serving 
Energy, kcal  707 
Fat, g  44.0 
Carbohydrate, g  38.1 
Protein, g  39.5 
Calcium, mg  172 
Iron, mg  8.8 
Vitamin A, μg RE  2695 
Thiamin, mg  1.05 
Riboflavin, mg  1.00 
Niacin, mg  16.8 
Vitamin C, mg  16  
","
Serving size: 1 cup
Number of servings: 6 
",,"
1 hour & 30 minutes 
",,'',fnri-2016-12ado,fnri
"
Forever Yang Chow 
","1⁄2 ;cup ;Buto ng sitaw, dried 
2 ;cups ;Water for boiling 
1⁄4 ;cup ;Cooking oil 
3 ;Tbsps ;Garlic, chopped 
1⁄4 ;cup ;Onion, Bombay, chopped 
1 ;Tbsp ;Ginger , crushed 
1⁄2 ;cup ;Shrimp, shelled 
1 ;cup ;Carrot, cubed 
1⁄2 ;cup ;Baguio beans, sliced 
6 ;cups ;Rice, brown, cooked 
3 ;Tbsps ;Oyster sauce 
1 ;pinch ;Sugar, white 
1 ;tsp ;Iodized salt 
1⁄4 ;tsp ;Black pepper, ground 
3 ;pcs ;Chicken egg, beaten, cooked into omelet then sliced 
1⁄4 ;cup ;Cooking oil (for egg) 
2 ;Tbsps ;Spring onion, chopped (optional) ","
1. Boil buto ng sitaw: 
• In a covered pan, boil buto ng sitaw over medium fire for 40 minutes or until tender. Drain. Set aside. 
2. In a pan, heat oil. Sauté garlic, onion, ginger and shrimp. 
3. Add carrots, baguio beans and rice. Mix well. 
4. Season with oyster sauce, sugar, salt and pepper. Mix well. 
5. Add buto ng sitaw and omelet. Blend well. 
6. Garnish with spring onion on top. Serve hot. 
","
Amount per serving 
Energy, kcal  556 
Fat, g  18.2 
Carbohydrate, g  77.6 
Protein, g  20.0 
Calcium, mg  124 
Iron, mg  3.6 
Vitamin A, μg RE  423 
Thiamin, mg  0.43 
Riboflavin, mg  0.19 
Niacin, mg  11.9 
Vitamin C, mg  6 
","
Serving size: 1 1⁄2 cups 
Number of servings: 7 
",,"
1 hour & 5 minutes 
",,'',fnri-2016-13for,fnri
"
Pork Veggie Express 
","
1 1⁄2 ;cups ;Patani 
4 ;cups ;Water for boiling 
1⁄4 ;cup ;Cooking oil 
3 ;Tbsps ;Garlic, chopped 
1⁄4 ;cup ;Onion, Bombay, chopped 
2 ;cups ;Pork, liempo, strips 
1⁄4 ;cup ;Alamang 
1 ;cup ;Water 
2 ;cups ;Coconut milk, pure 
1 ;cup ;Kalabasa, cubed 
1 ;cup ;Sitaw, sliced 
1 ;cup ;Sigarilyas, sliced diagonally 
1⁄4 ;cup ;Siling haba, green, seeded, strips 

","
1. Boil patani: 
• In a covered pan, boil patani over medium fire for 25 minutes or until tender. Drain. Peel. Set aside. 
2. In a pan, heat oil. Sautè garlic, onion and pork. 
3. Add alamang. Cover and simmer until pork is tender. 
4. Add water. Simmer for 5 minutes. 
5. Add coconut milk. Simmer for another 10 minutes. 
6. Add kalabasa, sitaw, sigarilyas, patani and sili. Cover and cook for 10 minutes. 
7. Serve hot. 
","
Amount per serving 
Energy, kcal  756 
Fat, g  57.8 
Carbohydrate, g  31.0 
Protein, g  27.9 
Calcium, mg  224 
Iron, mg  3.9 
Vitamin A, μg RE  86 
Thiamin, mg  0.58 
Riboflavin, mg  0.21 
Niacin, mg  8.4 
Vitamin C, mg  19 
","
Serving size: 1 cup
Number of servings: 6 
",,"
1 hour & 5 minutes 
",,'',fnri-2016-14por,fnri
"
Munggo Overload Pizza 
","
!Meat mixture: 
1 ;cup ;Munggo, green, dried 
4 ;cups ;Water for boiling 
1⁄4 ;cup ;Cooking oil 
3 ;Tbsps ;Garlic, chopped 
1⁄4 ;cup ;Onion, Bombay, chopped 
3 ;cups ;Pork, ground 
1⁄4 ;cup ;Shrimp, shelled, chopped 
1 ;tsp ;Iodized salt 
1⁄2 ;tsp ;Black pepper, ground 
3 ;cups ;Kulitis, sliced 

!Toppings:
1 ;cup ;Pizza sauce, sweet 
1⁄2 ;cup ;Bell pepper, red and green, strips 
11⁄2 ;cups ;Cheese, Quick melt, grated 
4 ;pcs ;Pizza crust (23.5 cm per piece) 


","
1. Boil munggo: 
• In a covered pan, boil munggo in water over medium fire for 30 minutes or until tender. 
2. Prepare the meat mixture: 
• In a pan, heat oil. Sautè garlic, onion and pork. Cover and cook for 10 minutes or until pork is cooked. 
• Add shrimp and season with salt and pepper. Simmer for 2 minutes. 
• Add kulitis and munggo. Set aside. 
3. Top and bake: 
• Pre-heat oven to 375°F. 
• Spread pizza sauce on the crust. Top with meat mixture, bell pepper and cheese. 
• Bake at 250°F for 15 minutes or until cheese melts. 
• Remove from the oven. Slice into serving sizes. 
• Serve hot. 
","
Amount per serving 
Energy, kcal  775 
Fat, g  46.8 
Carbohydrate, g 58.4 
Protein, g  30.9 
Calcium, mg  157 
Iron, mg  4.3 
Vitamin A, μg RE  159 
Thiamin, mg  0.49 
Riboflavin, mg  0.24 
Niacin, mg  8.6 
Vitamin C, mg  19 
","
Serving size: 3 slices
Number of servings: 8 
",,"
1 hour & 15 minutes 
",,'',fnri-2016-2mun,fnri
"
Power Puff 
","
2 ;cups ;Patani 
4 ;cups ;Water for boiling 
3 ;cups ;Potato, boiled then mashed 
2 ;cups ;Luncheon meat, cubed 
11⁄2 ;cups ;Cheese, cubed 
3 ;pcs ;Chicken egg, beaten 
1⁄2 ;cup ;Milk, evaporated 
1⁄4 ;cup ;Butter, melted 
1⁄4 ;cup ;Flour, all purpose 
1 ;tsp ;Iodized salt 
1⁄2 ;cup ;Breadcrumbs, for rolling 
3 ;cups ;Cooking oil, for frying 
24 ;pcs ;Wax paper, cut into 4” x 4” 

!Toppings:
1 ;cup ;Cheese spread or 
1 ;cup ;Chocolate syrup 

","
1. Boil patani: 
• In a covered pan, boil patani over medium fire for 25 minutes or until tender. Drain. Peel, then chop. Set aside. 
2. In a bowl, combine chopped patani, mashed potato, luncheon meat and cheese. Blend well. 
3. Add egg, milk, butter, flour and salt. Mix well. 
4. Place 1⁄4 cup of the mixture on a wax paper and mold like a log. 
5. Sprinkle breadcrumbs to cover the log evenly. 
6. Do the same with the rest of the mixture. 
7. Arrange in a tray. Chill in the freezer for 30 minutes. 
8. Deep fry in hot oil until brown or cooked. 
9. Drain to remove excess oil. 
10. Top with cheese spread or chocolate syrup. Serve hot. 
","
Amount per serving 
Energy, kcal  487 
Fat, g  30.4 
Carbohydrate, g 35.6 
Protein, g  17.9 
Calcium, mg  270 
Iron, mg  2.6 
Vitamin A, μg RE  191 
Thiamin, mg  0.17 
Riboflavin, mg  0.26 
Niacin, mg  5.0 
Vitamin C, mg  14 
","
Serving size: 2 pieces
Number of servings: 6 
",,"
45 minutes 
",,'',fnri-2016-3pow,fnri
"
Nutty Rice Medley 
","
2 ;cups ;Peanut, boiled, shelled 
15 ;cups ;Water for boiling 
1 ;cup ;Tokwa, cubed 
2 ;cups ;Cooking oil, for frying 
1⁄4 ;cup ;Butter 
3 ;Tbsps ;Garlic, chopped 
1⁄4 ;cup ;Onion, Bombay, chopped 
1⁄2 ;cup ;Carrot, chopped 
2 ;Tbsps ;Soy sauce 
6 ;cups ;Rice, brown, cooked 
2 ;cups ;Pechay, sliced thinly 
1⁄4 ;cup ;Bell pepper, red & green, cubed 
3⁄4 ;tsp ;Iodized salt 

","
1. Boil peanut with shell: 
• In a covered pan, boil peanut with shell over medium fire for 40 minutes or until tender. Drain and remove shell. Set aside. 
2. In a pan, deep fry tokwa. Transfer in a bowl. Drain excess oil. 
3. In another pan, melt butter. Sautè garlic, onion, carrots and tokwa. 
4. Season with soy sauce. 
5. Add rice. Mix well and simmer for 3 minutes. 
6. Add pechay and bell pepper. Blend well. 
7. Season with salt. 
8. Add peanut. Mix well. Serve hot. 
","
Amount per serving 
Energy, kcal  727 
Fat, g  33.9 
Carbohydrate, g  85.4 
Protein, g  19.8 
Calcium, mg  138 
Iron, mg  3.0 
Vitamin A, μg RE  254 
Thiamin, mg  0.72 
Riboflavin, mg  0.13 
Niacin, mg  14.2 
Vitamin C, mg  13 
","
Serving size: 1 1⁄2 cups
Number of servings: 6 
",,"
1 hour & 10 minutes 
",,'',fnri-2016-4nut,fnri
"
B and P 
","
1 1⁄2 cups ;Patani 
4 cups ;Water for boiling 

!Pork mixture: 
3 cups ;Pork, liempo, sliced thinly 
3 ;Tbsps ;Onion, Bombay, chopped 
1⁄2 ;cup ;Celery, chopped 
3 ;pcs ;Laurel leaves, dried 
1⁄2 ;tsp ;Iodized salt 
4 ;cups ;Cooking oil (for frying pork) 

!Vegetable mixture: 
1⁄4 ;cup ;Cooking oil 
1 1⁄2 ;cups ;Kamote, yellow, cubed 
1⁄2 ;cup ;Okra, sliced thinly 
1 ;cup ;Talong, sliced thinly 
1⁄4 ;cup ;Onion, Bombay, chopped 
3 ;Tbsps ;Garlic, chopped 
1⁄2 ;cup ;Tomato, sliced 
2 ;Tbsps ;Alamang 
3 ;tsps ;Vinegar 
1 ;Tbsp ;Sugar, white 
1⁄2 ;cup ;Water 


","
1. Boil patani: 
• In a covered pan, boil patani for 25 minutes or until tender. Drain the hot water and replace with tap water. Peel. Set aside. 
2. Prepare the pork mixture: 
• In a mixing bowl, combine pork, onion, celery, laurel leaves and salt. Blend well. 
• In a pan, heat oil. Deep fry the pork mixture until golden brown. 
• Drain to remove excess oil. Set aside. 
3. Prepare the vegetable mixture: 
• In a pan, heat oil. Fry kamote, okra and talong. Set aside. 
• In the same pan, sautè onion, garlic, tomato and alamang. 
• Add vinegar and sugar. Simmer for 5 minutes. 
• Add water. Simmer for another 3 minutes. 
4. Add patani and pork in the vegetable mixture. Mix well. 
5. Serve hot. 
","
Amount per serving 
Energy, kcal  816 
Fat, g  59.4 
Carbohydrate, g 41.8 
Protein, g  28.5 
Calcium, mg  189 
Iron, mg  3.1 
Vitamin A, μg RE  68 
Thiamin, mg  0.73 
Riboflavin, mg  0.22 
Niacin, mg  9.8 
Vitamin C, mg  25 
","
Serving size: 1 cup 
Number of servings: 6 
",,"
1 hour & 25 minutes 
",,'',fnri-2016-5b_a,fnri
"
Cheesy Potato 
","
!Mashed Potato Mixture: 
21⁄2 cups ;Kidney beans, white, dried 
8 ;cups ;Water for boiling 
4 ;cups ;Potato, mashed 
4 ;cups 1⁄2 cup ;Water for boiling Butter, melted 
1⁄2 ;cup ;Cheese, grated 
1 ;tsp ;Iodized salt 
1 ;cup ;Kernel corn, drained 

!Meat Mixture:
1⁄4 ;cup  ;Cooking oil 
3 ;Tbsps  ;Garlic, chopped 
3 ;Tbsps  ;Onion, Bombay, chopped 
11⁄2 ;cups  ;Pork, kasim, ground 
1 ;tsp  ;Iodized salt 
1⁄4 ;tsp  ;Black pepper, ground 
1⁄2 ;cup  ;Bell pepper, red, chopped 
1 ;whole ;Lettuce, cut into serving size

!Topping:
1 ;cup ;Cheese spread 

","
1. Boil kidney beans 
• In a covered pan, boil beans over medium fire for 45 minutes or until tender. Drain, peel then mash. Set aside. 
2. Prepare the mashed potato mixture: 
• In a covered pan, boil potato. Cook for 25 to 30 minutes over medium fire or until soft. Drain, peel and mash. 
• In a bowl, mix beans, potato, butter, cheese, salt and corn. Blend well. Set aside. 
3. Prepare the meat mixture: 
• In a pan, heat oil. Sauté garlic, onion and pork. Cover and cook for 10 minutes or until pork becomes golden brown. 
• Season with salt and pepper. 
• Add bell pepper. Simmer for 2 minutes. 
4. Combine the meat and mashed potato mixtures. Blend well. 
5. To serve: 
• Lay lettuce leaves over a container. 
• Scoop 1 cup of the mixture on top of lettuce. 
• Spread cheese. Serve. 
","
Amount per serving 
Energy, kcal  681 
Fat, g  37.4 
Carbohydrate, g  61.7 
Protein, g  24.2 
Calcium, mg  280 
Iron, mg  5.4 
Vitamin A, μg RE  230 
Thiamin, mg  0.51 
Riboflavin, mg  0.32 
Niacin, mg  9.8 
Vitamin C, mg  40 
","
Serving size: 1 cup 
Number of servings: 9 
",,"
1 hour & 45 minutes 
",,'',fnri-2016-6che,fnri
"
Bean Pollo Loco 
","
1 3⁄4 ;cups ;Kidney beans, red, dried 
8 ;cups ;Water for boiling 
4 ;cups ;Chicken thigh, fillet, strips 
1/16 ;tsp ;Iodized salt 
1/16 ;tsp ;Black pepper, ground 
1⁄2 ;cup ;Cooking oil 
1⁄4 ;cup ;Onion, Bombay, chopped 
3 ;Tbsps ;Garlic, chopped 
3 ;Tbsps ;Ginger, strips 
1 ;Tbsp ;Sili, long, green, strips 
1⁄2 ;cup ;Bell pepper, round, red and green, strips 
1⁄2 ;cup ;Oyster sauce 
2 ;cups ;Carrot, florets 
4 ;cups ;Kulitis, fresh, cleaned 

","
1. Boil red beans: 
• In a covered pan, boil red beans over medium fire for 45 minutes or until tender. Drain. Set aside. 
2. In a mixing bowl, season chicken with salt and pepper. 
3. In a pan, heat oil. Sautè onion, garlic, ginger and chicken. Cover and cook until the chicken becomes tender. 
4. Add sili and bell pepper. Cook for 3 minutes. 
5. Add oyster sauce and carrots. Simmer for 2 minutes. 
6. Add beans and kulitis. Serve hot. 
","
Amount per serving 
Energy, kcal  673 
Fat, g  32.6 
Carbohydrate, g  51.5 
Protein, g  43.5 
Calcium, mg  216 
Iron, mg  9.9 
Vitamin A, μg RE  911 
Thiamin, mg  0.44 
Riboflavin, mg  0.48 
Niacin, mg  15.9 
Vitamin C, mg  40 
","
Serving size: 1 1⁄2 cups 
Number of servings: 6 
",,"
1 hour & 20 minutes 
",,'',fnri-2016-7bea,fnri
"
Pinoy Sinangag with Kadyos 
","
1 ;cup ;Kadyos, black, dried 
8 ;cups ;Water for boiling 
2 ;Tbsps ;Cooking oil 
2 ;Tbsps ;Butter, melted 
4 ;Tbsps ;Garlic, chopped 
1 ;cup ;Bangus, tinapa, flaked 
5 ;cups ;Rice, brown, cooked 
2 ;cups ;Egg, salted, mashed 
1 ;cup ;Tomato, cubed 
1 ;cup ;Cucumber, cubed 
4 ;cups ;Kulitis, fresh, cleaned 

","
1. Boil kadyos: 
• In a covered pan, boil kadyos over medium fire for 30 minutes or until tender. Drain. Set aside. 
2. In a pan, heat oil and butter. Sautè garlic and tinapa. 
3. Add rice. Blend well. 
4. Add egg, tomato, kadyos, cucumber and kulitis. Mix well. 
5. Serve hot.
","
Amount per serving 
Energy, kcal  507 
Fat, g  16.7 
Carbohydrate, g  66.1 
Protein, g  23.0 
Calcium, mg  224 
Iron, mg  5.0 
Vitamin A, μg RE  245 
Thiamin, mg  0.55 
Riboflavin, mg  0.34 
Niacin, mg  10.5 
Vitamin C, mg  22 
","
Serving size: 1 1⁄2 cups
Number of servings: 8 
",,"
50 minutes 
",,'',fnri-2016-8pin,fnri
"
Pinoy  Fiesta Taco Mix ","
!Munggo Mixture: 
2 ;cups ;Munggo, red, dried 
8 ;cups ;Water for boiling 
3 ;cups ;Tokwa, cubed 
1/16 ;tsp ;Iodized salt 
1/16 ;tsp ;Black pepper, ground 
1/16 ;tsp ;Flour, all purpose 
3 ;cups ;Cooking oil for frying 
1 ;cup ;Tomato, seeded, sliced thinly 
1 ;cup ;Pipino, seeded, sliced thinly 
3 ;cups ;Lettuce, sliced thinly 
1 ;cup ;Cheese, grated 
12 ;pcs ;Taco shell 

!Topping: 
1 ;cup ;Cheese, grated 

","
1. Boil red munggo: 
• In a covered pan, boil red munggo over medium fire for 30 minutes. Drain. Set aside. 
2. Fry tokwa: 
• In a mixing bowl, season tokwa with salt, pepper and flour. 
• Deep fry in hot cooking oil until golden brown. Drain to remove excess oil. Set aside. 
3. In another mixing bowl, combine tomato, pipino, lettuce, cheese, munggo and tokwa. Mix well. 
4. Stuff the taco shell with the munggo mixture. 
5. Do the same with the rest of the mixture. 
6. Top with cheese. Serve. 
","
Amount per serving 
Energy, kcal  504 
Fat, g  33.8 
Carbohydrate, g 31.8 
Protein, g  18.1 
Calcium, mg  194 
Iron, mg  4.8 
Vitamin A, μg RE  87 
Thiamin, mg  0.28 
Riboflavin, mg  0.13 
Niacin, mg  3.6 
Vitamin C, mg  9 
","
Serving size: 1 pc.
Number of servings: 6 
",,"
1 hour & 15 minutes 
",,'',fnri-2016-9pin,fnri
"
Stir-fried chicken with pechay Baguio and carrots 
","
3⁄4 ;kilo ;Chicken, breast, fillet, strips 
1/8 ;cup ;Toyo 
1 1⁄2 ;Tbsps ;Calamansi juice 
1/16 ;tsp  ;Black pepper, ground 
1/8 ;cup    ;Cooking oil 
1/8 ;cup    ;Garlic, crushed, chopped 
1/8 ;cup    ;Onion, Bombay, chopped 
1⁄2 ;cup + 1/8 ;cup ;Bell pepper, red, strips 
1⁄2 ;cup + 1/8 ;cup ;Bell pepper, green, strips 
1 3⁄4 ;cups ;Carrot, strips 
5 1⁄2 ;cups ;Pechay baguio, sliced 

","
1. Marinate the chicken in toyo, calamansi juice and pepper for 30 minutes. Set aside. 
2. In a pan, heat oil. Sauté garlic, onion and   marinated chicken. Stir-fry chicken for 10 minutes. 
3. Add bell pepper. Simmer for 3 minutes. 
4. Add carrot and pechay Baguio. Blend well. Simmer for another 3 minutes. 
",,"
5 Servings 
Serving size: 1⁄4 cup chicken+ 3⁄4 cup veg 

",,"
25 minutes
","
20 minutes
",'',fnri-2018-1sti,fnri
"
Dinengdeng 
","
2 ;cups ;Water 
1/8 ;cup ;Bagoong isda 
1/8 ;cup ;Onion, Bombay, chopped 
1/8 ;cup ;Tomato, seeded, chopped 
1 ;cup ;Sitaw, cut into 1” long 
3/4 ;cup ;Okra, sliced 
4 1/8 ;cups ;Sayote, leaves 
4 ;cups ;Squash, flower 

","
1. In a covered pan, bring water to a boil. 
2. Add bagoong, onion and tomato. Simmer for 1 minute. 
3. Add sitaw and okra. Simmer for 3 minutes. 
4. Add sayote leaves Simmer for 2 minutes. 
5. Add squash flower. Simmer for another 1 minute. 
",,"
5 Servings 
Serving size: 3⁄4 cup veg + 1⁄4 cup soup 
",,"
10 minutes
","
15 minutes
",'',fnri-2018-10din,fnri
"
Bulanglang 
","
1 1⁄2 ;Tbsps ;Cooking oil 
1/8 ;cup ;Garlic, crushed, chopped 
1/8 ;cup ;Bagoong isda 
2 1⁄2 ;cups ;Water or rice washing 
1 ;cup ;Squash fruit, cubed 
1 1/8 ;cup ;Sitaw, cut 1” long 
1⁄2 ;cup ;Upo, sliced 
2 1⁄2 ;cups ;Squash flower 

","
1. In a pan, heat oil. Sauté garlic and bagoong. 
2. Add water or rice washing. Cover and bring to a boil. 
3. Add squash fruit and sitaw. Simmer for 5 minutes. 
4. Add upo. Simmer for another 3 minutes. 
5. Add squash flower. Cook for another 1 minute. 
",,"
5 servings 
Serving size: 3⁄4 cup veg + 1⁄4 cup sauce 
",,"
15 minutes
","
20 minutes
",'',fnri-2018-11bul,fnri
"
Sinigang na Turcillo 
","
2 1⁄2 ;cups; Water 
1/8 ;cup ;Onion, Bombay, sliced 
1⁄4 ;cup ;Tomato, seeded, sliced 
2 1⁄4 ;cups ;Sitaw, cut into 1” long 
3⁄4 ;cups ;Okra, sliced   
3⁄4 kilo ;Turcillo, fresh 
1⁄2 ;cup + 1/8 ;cups ;Labanos, sliced   
1 ;tsp ;Iodized salt, refined 
1 ;Tbsp ;Pansigang na sampalok, powdered 
2 1/8 ;cups ;Kangkong leaves    

","
1. In a pot, combine water, onion, and tomato. Cover and bring to a boil. 
2. Add sitaw and okra. Cover and cook for 1 minute. 
3. Add turcillo. Cover and simmer for 3 minutes. 
4. Add labanos. Simmer for another 2 minutes. 
5. Season with salt and sampalok. 
6. Add kangkong. Cover and cook for 1 minute. 
",,"
5 Servings 
Serving size: 1 pc fish + 3⁄4 cup veg + 1⁄2 cup soup 
",,"
15 minutes
","
10 minutes
",'',fnri-2018-12sin,fnri
"
Pesang isda  
","
1/8 ;cup ;Cooking oil 
1/8 ;cup ;Ginger, strips 
1 1⁄2 ;Tbsps ;Garlic, crushed, chopped 
1/8 ;cup ;Onion, Bombay, chopped 
3 ;cups ;Water 
1⁄2 ;tsp ;Iodized salt, refined 
2 1⁄4 ;cups ;Sayote, sliced 
3/4 ;kilo or ;Bangus, boneless, sliced 
5 1⁄2 ;cups ;Pechay, sliced 

","
1. In a pan, heat oil. Sauté ginger, garlic and onion. 
2. Add water. Cover and bring to a boil. Season with salt. 
3. Add sayote. Cover and simmer for 3 minutes. 
4. Add bangus. Cover and simmer for 5 minutes or until fish is cooked. 
5. Add pechay. Simmer for 2 minutes. 
",,"
5 servings 
Serving size: 1 pc fish + 3⁄4 cup veg + 1⁄4 cup soup 
",,"
15 minutes
","
10 minutes
",'',fnri-2018-13pes,fnri
"
Chicken hamonado 
","
3⁄4 ;cup ;Pineapple juice 
1 ;Tbsp ;Garlic, crushed, chopped 
1 ;Tbsp ;Toyo 
1 1⁄2 ;Tbsps ;Sugar, brown 
1⁄2 ;tsp ;Iodized salt, refined 
3⁄4 ;kilo ;Chicken, breast, fillet, sliced crosswise ( 3 x 2 inches) 10 slices 
1/8 ;cup ;Cooking oil 
1 ;tsp ;Cornstarch, dissolved in 
1⁄2 ;Tbsp ;Water ","
1. In a bowl, combine pineapple juice, garlic, toyo, sugar and salt. Blend well.
2. Add chicken. Marinate for 30 minutes.
3. In a pot, line the chicken. Pour with the marinade, cover and   bring to a boil. Simmer for 10 minutes or until chicken is tender.
4. Drain the chicken, set aside. Reserve the sauce.
5. In a pan, heat oil. Toss the chicken until golden brown.
6. Add the sauce. Cover and simmer for 5 minutes. 
7. Add cornstarch solution. Blend well.
8. Continue cooking until sauce thickens.
",,"
5 Servings 
Serving size: 2 slices chicken + 2 Tbsps sauce 
",,"
20 minutes
","
10 minutes
",'',fnri-2018-14chi,fnri
"
Corn and carrot soup 
","
1 1⁄2 ;Tbsps ;Cooking oil 
1/8 ;cup ;Garlic, crushed, chopped 
1/8 ;cup ;Onion, Bombay, chopped 
1 ;cup ;Corn on the cob, yellow, shredded 
1 1⁄4 ;cups ;Carrot, cubed 
1 1⁄2 ;Tbsps ;Patis 
1/8 ;tsp ;Black pepper, ground 
3 ;cups ;Water 
1 ;pc ;Egg, chicken, beaten 
1 ;Tbsp ;Spring onion   

","
1. In a pan, heat oil. Sauté garlic and onion. 
2. Add corn. Simmer for 3 minutes. 
3. Add carrot. Simmer for another 3 minutes. 
4. Season with patis and pepper. 
5. Add water. Cover and bring to a boil. 
6. Add egg and stir well. Simmer for 1 minute. 
7. Add spring onion. 
",,"
5 Servings 
Serving size: 3⁄4 cup veg + 1⁄2 cup soup 
",,"
15 minutes
","
10 minutes
",'',fnri-2018-15cor,fnri
"
Paksiw na bangus with ampalaya and talong 
","
1 1⁄2 ;Tbsps ;Ginger, crushed 
1/8 ;cup ;Garlic, crushed, chopped 
1⁄2 ;tsp ;Black pepper, whole 
1 ;tsp ;Iodized salt, refined 
1⁄2 ;cup ;Vinegar 
1 1⁄2 ;cups ;Water 
2 1⁄2 ;cups ;Ampalaya, fruit, sliced 
2 1/8 ;cups ;Talong, sliced 
2 ;pcs or 25 ;g ;Sili, long, green 
3⁄4 ;kilo ;Bangus, cleaned, boneless, sliced 

","
1. In a pot, combine ginger, garlic, pepper,   salt, vinegar and water. Line the pot with ampalaya, talong, sili and bangus. Cover. 
2. Bring to a boil then simmer uncovered for 5 minutes or until bangus is cooked. 
",,"
5 servings 
Serving size: 1 pc fish + 3⁄4 cup veg + 1/3 cup soup 
",,"
15 minutes
","
10 minutes
",'',fnri-2018-2pak,fnri
"
Pinakbet 
","
3 ;Tbsps;Cooking oil 
1/8 ;cup ;Garlic, crushed, chopped 
1/8 ;cup ;Onion, Bombay, chopped 
1/8 ;cup ;Tomato, sliced 
2 ;Tbsps ;Bagoong isda 
1 ;cup ;Kamote, yellow, cubed 
1 1⁄2 ;cups ;Water 
1 ;cup ;Sitaw, cut into 1” long 
1⁄2 ;cup ;Okra 
1 ;cup ;Talong, sliced 
1⁄2 ;cup ;Malunggay, leaves 

","
1. In a pan, heat oil. Sauté garlic, onion,   tomato and bagoong. 
2. Add kamote and water. Cover and simmer for 10 minutes. 
3. Add sitaw and okra. Cover and bring to boil. 
4. Add talong. Simmer for 5 minutes. 
5. Add malunggay. Simmer for another 1 minute. 
",,"
5 servings 
Serving size: 3⁄4 cup veg + 1/8 cup soup 
",,"
20 minutes
","
25 minutes
",'',fnri-2018-3pin,fnri
